year	algorithm	n_articles	pct_missing_params	pct_missing_justification	pct_missing_evaluation	pct_missing_tuning	pct_missing_reporting_signals
2017	k-means	1665	50.210210210210214	16.876876876876878	69.24924924924925	75.7957957957958	93.33333333333333
2017	k-medoids/PAM	332	68.67469879518072	13.855421686746988	63.25301204819277	77.10843373493977	92.7710843373494
2017	c-means/fuzzy c-means	126	52.38095238095238	15.873015873015873	71.42857142857143	69.04761904761905	93.65079365079364
2017	hierarchical	4773	82.31720092185209	17.787554996857324	71.88351141839514	83.7628326000419	97.80012570710245
2017	ward	123	73.98373983739837	14.634146341463415	72.35772357723577	85.36585365853658	98.3739837398374
2017	DBSCAN	99	47.474747474747474	12.121212121212121	61.61616161616162	75.75757575757575	86.86868686868686
2017	OPTICS	3658	94.12247129579005	34.8824494259158	84.7457627118644	91.30672498633133	99.8633132859486
2017	mean shift	87	74.71264367816092	12.64367816091954	72.41379310344827	80.45977011494253	96.55172413793103
2017	BIRCH	113	88.49557522123894	20.353982300884955	69.91150442477876	88.49557522123894	97.34513274336283
2017	spectral	103	27.184466019417474	17.475728155339805	46.601941747572816	71.84466019417475	86.40776699029126
2017	affinity propagation	65	53.84615384615385	15.384615384615385	64.61538461538461	76.92307692307692	93.84615384615384
2017	GMM/mixture	556	58.63309352517986	16.906474820143885	61.510791366906474	71.22302158273381	93.70503597122303
2017	SOM	219	71.23287671232876	23.744292237442924	68.4931506849315	75.79908675799086	92.69406392694064
2017	MCL	353	80.1699716713881	25.21246458923513	64.02266288951841	84.13597733711048	97.45042492917847
2017	community detection	173	25.433526011560694	17.91907514450867	29.479768786127167	80.92485549132948	88.4393063583815
2017	louvain	105	26.666666666666668	18.095238095238095	21.904761904761905	79.04761904761905	87.61904761904762
2017	leiden	143	90.20979020979021	21.678321678321677	74.12587412587412	86.01398601398601	97.2027972027972
2017	generic cluster*	23765	83.93856511676836	25.39448769198401	76.19608668209551	86.24026930359773	98.32106038291606
2018	k-means	2025	49.876543209876544	17.135802469135804	66.96296296296296	73.67901234567901	92.49382716049382
2018	k-medoids/PAM	475	66.94736842105263	15.368421052631579	64.84210526315789	81.26315789473684	93.6842105263158
2018	c-means/fuzzy c-means	185	52.972972972972975	22.7027027027027	73.51351351351352	70.8108108108108	95.67567567567568
2018	hierarchical	5376	79.4828869047619	16.42485119047619	71.37276785714286	83.51934523809524	97.54464285714286
2018	ward	133	68.42105263157895	15.789473684210526	60.150375939849624	82.70676691729324	93.23308270676692
2018	DBSCAN	154	41.55844155844156	21.428571428571427	67.53246753246754	75.32467532467533	92.20779220779221
2018	OPTICS	4260	93.54460093896714	33.80281690140845	82.88732394366197	89.74178403755869	99.60093896713614
2018	mean shift	121	67.76859504132231	25.619834710743802	79.33884297520662	80.16528925619835	94.21487603305785
2018	BIRCH	129	82.94573643410853	28.68217054263566	73.64341085271317	84.49612403100775	96.89922480620154
2018	spectral	173	30.057803468208093	13.872832369942197	49.13294797687861	67.6300578034682	84.97109826589596
2018	affinity propagation	62	27.419354838709676	19.35483870967742	58.064516129032256	66.12903225806451	87.09677419354838
2018	GMM/mixture	671	55.58867362146051	18.330849478390462	59.16542473919523	70.19374068554396	91.35618479880775
2018	SOM	255	69.80392156862744	19.607843137254903	73.33333333333333	72.54901960784314	95.29411764705883
2018	MCL	410	84.63414634146342	23.414634146341463	59.26829268292683	87.07317073170732	97.8048780487805
2018	graph-based	66	43.93939393939394	13.636363636363637	51.515151515151516	81.81818181818181	90.9090909090909
2018	community detection	209	22.00956937799043	18.660287081339714	28.229665071770334	81.33971291866028	86.1244019138756
2018	louvain	134	25.37313432835821	14.925373134328359	20.149253731343283	75.3731343283582	88.80597014925372
2018	leiden	199	86.93467336683418	17.08542713567839	70.35175879396985	80.40201005025126	98.49246231155779
2018	SNN	70	44.285714285714285	20.0	55.714285714285715	64.28571428571429	88.57142857142857
2018	Seurat	147	51.02040816326531	14.965986394557824	55.10204081632653	74.14965986394557	87.07482993197279
2018	SC3	60	55.0	18.333333333333332	45.0	85.0	90.0
2018	generic cluster*	27429	83.0216194538627	25.462102154653834	75.55506945203982	85.65022421524664	98.20992380327391
2019	k-means	2619	50.13363879343261	16.571210385643376	64.52844597174494	74.5704467353952	93.35624284077892
2019	k-medoids/PAM	574	68.98954703832753	16.202090592334496	61.67247386759582	78.9198606271777	94.07665505226481
2019	c-means/fuzzy c-means	210	49.04761904761905	20.0	71.42857142857143	75.23809523809524	94.28571428571429
2019	hierarchical	6886	79.84316003485333	16.70055184432181	71.3040952657566	82.26837060702876	97.28434504792332
2019	ward	166	70.48192771084338	15.060240963855422	65.06024096385542	77.71084337349397	98.19277108433735
2019	DBSCAN	190	46.31578947368421	13.68421052631579	58.94736842105263	74.21052631578948	91.57894736842105
2019	OPTICS	4918	93.63562423749492	31.638877592517282	82.12688084587231	88.81659211061407	99.6949979666531
2019	mean shift	121	74.3801652892562	23.96694214876033	78.51239669421487	84.29752066115702	96.69421487603306
2019	BIRCH	155	80.0	20.0	70.3225806451613	87.74193548387096	98.06451612903226
